Department,Job Title,Salary,Qualification,Company,City,Expirence
Finance,Accountant,50000,Bachelor's degree in accounting or finance.,Lkss & Associates,Bengaluru,1
Finance,Actuary,65000,"Bachelor's degree in actuarial science, mathematics, statistics, or a related field.",KPMG Assurance and Consulting Service,Mumbai,4
Marketing and Advertising,Advertising Executive,70000,"Bachelor's degree in marketing, advertising, communications, or a related field.",PR Executive - Advertising Agency,Gurgaon,6
Customer Service,Call Center Supervisor,50000,High school diploma or equivalent; previous experience in customer service or call center operations.,Sree Kumaran Gold & Diamonds,"Madurai, Salem, Coimbatore",8
Human Resources,Compensation Analyst,60000,"Bachelor's degree in human resources, business administration, finance, or a related field",Saviynt,Bengaluru,6
Customer Service,Customer Service Representative,35000,High school diploma or equivalent; strong communication and problem-solving skills.,Optum,Bengaluru,3
Customer Service,Customer Success Manager,45000,"Bachelor's degree in business, marketing, or a related field; strong customer service skills.",Appviewx,"Chennai, Coimbatore",10
Information Technology,Data Analyst,50000,"Bachelor's degree in mathematics, statistics, computer science, or a related field; proficiency in data analysis tools.",Masai School,Bengaluru,0-3 Yrs
Manufacturing and Engineering,Electrical Engineer,45000,Bachelor's degree in electrical engineering or a related field.,Wonderla Holidays,Bhubaneswar,2-6 Yrs
Finance,Financial Advisor,75000,"Bachelor's degree in finance, economics, business administration, or a related field; relevant certifications (e.g., CFP, CFA).",T N R Financial Consultancy,"Pudukkottai, Thanjavur",0-5 Yrs
Finance,Financial Analyst,45000,"Bachelor's degree in finance, accounting, economics, or a related field.",Experis,Hyderabad,0-1 Yrs
Healthcare,Health Administrator,60000,"Bachelor's or master's degree in healthcare administration, public health, or a related field.",Accenture,Chennai,3-5 Yrs
Healthcare,Healthcare Administrator,70000,"Bachelor's or master's degree in healthcare administration, public health, or a related field.",Accenture,Chennai,0-1 Yrs
Human Resources,HR Manager,100000,"Bachelor's degree in human resources, business administration, or a related field; relevant certifications (e.g., PHR, SPHR).",Star Union Dai ichi Life Insurance,"Thane, Navi Mumbai",7-12 Yrs
Finance,Investment Analyst,65000,"Bachelor's degree in finance, economics, accounting, or a related field; relevant certifications (e.g., CFA).",PE Fund,Bengaluru,4-9 Yrs
Information Technology,IT Consultant,50000,"Bachelor's degree in information technology, computer science, or a related field; relevant certifications (e.g., CompTIA, Cisco).",Prakhar Software,New Delhi,3-8 Yrs
Consulting,Management Consultant,110000,"Bachelor's degree in business administration, management, or a related field; relevant work experience.",Aaditya Consultants,Mumbai,1-6 Yrs
Marketing and Advertising,Market Research Analyst,40000,"Bachelor's degree in marketing, statistics, economics, or a related field.",IQVIA,Hybrid - Bengaluru,4-8 Yrs
Marketing and Advertising,Marketing Manager,80000,"Bachelor's degree in marketing, business administration, or a related field.",Aryavart Institute of Technology,"Noida, Patna, kanpur",3-5 Yrs
Healthcare,Medical Laboratory Technician,30000,Associate's degree in medical laboratory technology or a related field.,Sri Samraj Labs,Cuddalore,2-7 Yrs
Healthcare,Medical Sales Representative,40000,"Bachelor's degree in business, marketing, or a related field; strong sales skills.",Cipla,"Hyderabad, Lucknow",1-6 Yrs
Manufacturing and Engineering,Mechanical Engineer,60000,Bachelor's degree in mechanical engineering or a related field.,India Smt Services,Coimbatore,0-3 Yrs
Information Technology,Network Administrator,45000,"Bachelor's degree in information technology, computer science, or a related field; relevant certifications (e.g., CCNA, CompTIA Network+).",IBM,Bengaluru,5-9 Yrs
Healthcare,Pharmacist,35000,Doctor of Pharmacy (Pharm.D.) degree.,Wellness Forever,"Bhopal, Indore",0-5 Yrs
Manufacturing and Engineering,Process Engineer,55000,"Bachelor's degree in chemical engineering, mechanical engineering, or a related field.",Valeo,Pune,3-7 Yrs
Manufacturing and Engineering,Production Manager,70000,"Bachelor's degree in industrial engineering, business administration, or a related field; relevant work experience.",Suncrest,Malawi,5-10 Yrs
Marketing and Advertising,Public Relations Specialist,50000,"Bachelor's degree in public relations, communications, journalism, or a related field.",Prose Integrated,New Delhi,1-4 Yrs
Manufacturing and Engineering,Quality Control Engineer,40000,"Bachelor's degree in engineering or a related field; relevant certifications (e.g., Six Sigma).",Superior Electric Machines,Chennai,2-6 Yrs
Human Resources,Recruiter,45000,"Bachelor's degree in human resources, business administration, or a related field.",IBM,Coimbatore,0-3 Yrs
Healthcare,Registered Nurse,35000,Bachelor of Science in Nursing (BSN) degree.,Apollo Hospitals,Navi Mumbai,1-6 Yrs
Information Technology,Software Engineer,75000,"Bachelor's degree in computer science, software engineering, or a related field.",Zetwerk,Bengaluru,0-4 Yrs
Consulting,Strategy Consultant,100000,"Bachelor's degree in business administration, management, or a related field; relevant work experience.",Accenture,Gurugram,5-10 Yrs
Human Resources,Training and Development Specialist,50000,"Bachelor's degree in human resources, education, organizational development, or a related field.",Wow Momo Foods,Mumbai,7-12 Yrs
Information Technology,Web Developer,40000,"Bachelor's degree in computer science, web development, or a related field; proficiency in programming languages such as HTML, CSS, and JavaScript.",J.K. Star,Mumbai,3-5 Yrs
